sport,games,>=50%,n>=50%,>=55%,n>=55%,>=60%,n>=60%,>=65%,n>=65%,>=70%,n>=70%,>=75%,n>=75%,>=80%,n>=80%,>=85%,n>=85%,>=90%,n>=90%
american_football,845,-0.0068410639552693815,845,-0.017585689962811197,733,-0.01919974759456182,603,-0.001607631121978228,466,0.026582789911256267,360,0.007616016284543352,269,0.009908171272783923,170,0.02054729277229471,105,-0.024700337139771936,49
baseball,2626,-0.053659347990725824,2626,-0.07529156607340524,1581,-0.0547586388657629,762,-0.015472095952170818,285,0.002927401766147473,97,,16,,5,,4,,3
basketball,2544,-0.0025100155643111763,2544,-0.0025517350242910196,2183,-0.01572553754316948,1788,-0.012353852593374123,1410,-0.007298924677053927,1066,-0.013445828724502468,802,-0.008154781684894342,550,0.01862623825328359,300,0.04512414278520763,126
cricket,166,-0.023069367220605957,166,-0.015145379518666102,122,-0.007834743708453428,89,-0.011471954323350018,68,0.022693476231513698,50,-0.023777215489769805,41,0.03429807659056405,35,0.022103149740230633,30,,15
esports,3058,-0.029938137875371952,3058,-0.022612369682280725,2519,-0.01986804982738546,1984,-0.015266809661325771,1468,-0.032854343408873526,1058,-0.04090286635703994,739,-0.03705439163994227,475,-0.05865379140121816,262,-0.03582765693714921,119
hockey,1569,-0.043494752007964065,1569,-0.037800124007339994,1060,-0.025120694178294472,588,-0.0008364637961922328,256,0.009982812421165619,128,0.08896802748400828,50,,24,,16,,13
mma_boxing,168,-0.0877559664831816,168,-0.0948261865320609,133,-0.0761913496632517,108,-0.09001525201941925,80,-0.11291515223386253,57,-0.1428621683784646,35,,19,,9,,2
soccer,2980,-0.020003883105599026,1774,-0.01214373843437565,1313,-0.0003211900418454934,975,-4.936739611949164e-05,693,-0.008665656892416954,508,-0.013916968569518995,364,0.022657449847282986,237,0.0040442368042167874,129,-0.02371489504024836,60
tennis,2232,-0.029165311614713245,2232,-0.024981354824098998,1875,-0.02057052570460385,1490,-0.013428454017188136,1136,-0.014829689262457374,851,-0.005477694677291799,637,-0.013303454200862876,450,0.012137823943105754,272,-0.007662970542510941,157
